EventId,EventTemplate,Content,ParameterList
E19,"Partition rdd_<*> not found, computing it","Partition rdd_2_4 not found, computing it",['2_4']
E12,Input split: hdfs://<*>,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,['10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292']
E12,Input split: hdfs://<*>,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,['10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292']
E12,Input split: hdfs://<*>,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,['10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292']
E12,Input split: hdfs://<*>,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,['10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292']
E12,Input split: hdfs://<*>,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,['10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292']
E29,Started reading broadcast variable <*>,Started reading broadcast variable 8,['8']
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)","['broadcast_8_piece0', '21.4 KB', '35.4 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 8 took 19 ms,"['8', '19']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)","['broadcast_8', '281.6 KB', '317.0 KB']"
E17,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id","mapred.tip.id is deprecated. Instead, use mapreduce.task.id",[]
E14,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id","mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",[]
E15,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",[]
E13,"mapred.job.id is deprecated. Instead, use mapreduce.job.id","mapred.job.id is deprecated. Instead, use mapreduce.job.id",[]
E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition","mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",[]
E29,Started reading broadcast variable <*>,Started reading broadcast variable 0,['0']
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)","['broadcast_0_piece0', '93.0 B', '317.1 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 0 took 21 ms,"['0', '21']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)","['broadcast_0', '384.0 B', '317.5 KB']"
E29,Started reading broadcast variable <*>,Started reading broadcast variable 4,['4']
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)","['broadcast_4_piece0', '95.0 B', '317.6 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 4 took 18 ms,"['4', '18']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)","['broadcast_4', '384.0 B', '318.0 KB']"
E29,Started reading broadcast variable <*>,Started reading broadcast variable 3,['3']
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)","['broadcast_3_piece0', '152.0 B', '318.1 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 3 took 17 ms,"['3', '17']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)","['broadcast_3', '384.0 B', '318.5 KB']"
E29,Started reading broadcast variable <*>,Started reading broadcast variable 1,['1']
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)","['broadcast_1_piece0', '107.0 B', '318.6 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 1 took 16 ms,"['1', '16']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)","['broadcast_1', '384.0 B', '319.0 KB']"
E29,Started reading broadcast variable <*>,Started reading broadcast variable 2,['2']
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 319.0 KB)","['broadcast_2_piece0', '93.0 B', '319.0 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 2 took 16 ms,"['2', '16']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)","['broadcast_2', '384.0 B', '319.4 KB']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 1072, boot = 856, init = 210, finish = 6","['1072', '856', '210', '6']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 1114, boot = 885, init = 223, finish = 6","['1114', '885', '223', '6']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 1074, boot = 869, init = 199, finish = 6","['1074', '869', '199', '6']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 1078, boot = 851, init = 219, finish = 8","['1078', '851', '219', '8']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 1077, boot = 865, init = 206, finish = 6","['1077', '865', '206', '6']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)","['rdd_2_2', '850.0 B', '320.3 KB']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)","['rdd_2_3', '930.0 B', '321.2 KB']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)","['rdd_2_1', '935.0 B', '322.1 KB']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)","['rdd_2_0', '913.0 B', '323.0 KB']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)","['rdd_2_4', '890.0 B', '323.8 KB']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 38, boot = 11, init = 27, finish = 0","['38', '11', '27', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 42, boot = 12, init = 30, finish = 0","['42', '12', '30', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 41, boot = 15, init = 26, finish = 0","['41', '15', '26', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 40, boot = 7, init = 33, finish = 0","['40', '7', '33', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 42, boot = 13, init = 28, finish = 1","['42', '13', '28', '1']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,"['3.0', '0.0', '3', '2703']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,"['1.0', '0.0', '1', '2703']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,"['2.0', '0.0', '2', '2703']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,"['4.0', '0.0', '4', '2703']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,"['0.0', '0.0', '0', '2703']"
E11,Got assigned task <*>,Got assigned task 42,['42']
E24,Running task <*> in stage <*> (TID <*>),Running task 0.0 in stage 1.0 (TID 42),"['0.0', '1.0', '42']"
E11,Got assigned task <*>,Got assigned task 56,['56']
E24,Running task <*> in stage <*> (TID <*>),Running task 1.0 in stage 1.0 (TID 56),"['1.0', '1.0', '56']"
E11,Got assigned task <*>,Got assigned task 69,['69']
E29,Started reading broadcast variable <*>,Started reading broadcast variable 10,['10']
E24,Running task <*> in stage <*> (TID <*>),Running task 2.0 in stage 1.0 (TID 69),"['2.0', '1.0', '69']"
E11,Got assigned task <*>,Got assigned task 78,['78']
E24,Running task <*> in stage <*> (TID <*>),Running task 3.0 in stage 1.0 (TID 78),"['3.0', '1.0', '78']"
E11,Got assigned task <*>,Got assigned task 79,['79']
E24,Running task <*> in stage <*> (TID <*>),Running task 4.0 in stage 1.0 (TID 79),"['4.0', '1.0', '79']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)","['broadcast_10_piece0', '5.8 KB', '329.6 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 10 took 17 ms,"['10', '17']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_10 stored as values in memory (estimated size 9.6 KB, free 339.2 KB)","['broadcast_10', '9.6 KB', '339.2 KB']"
E10,Found block rdd_<*> locally,Found block rdd_2_0 locally,['2_0']
E10,Found block rdd_<*> locally,Found block rdd_2_3 locally,['2_3']
E10,Found block rdd_<*> locally,Found block rdd_2_4 locally,['2_4']
E10,Found block rdd_<*> locally,Found block rdd_2_2 locally,['2_2']
E10,Found block rdd_<*> locally,Found block rdd_2_1 locally,['2_1']
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 42, boot = -4131, init = 4172, finish = 1","['42', '-4131', '4172', '1']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 41, boot = -4122, init = 4162, finish = 1","['41', '-4122', '4162', '1']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 42, boot = -4121, init = 4162, finish = 1","['42', '-4121', '4162', '1']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 42, boot = -4138, init = 4179, finish = 1","['42', '-4138', '4179', '1']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 42, boot = -4134, init = 4175, finish = 1","['42', '-4134', '4175', '1']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,"['4.0', '1.0', '79', '2685']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,"['1.0', '1.0', '56', '2428']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,"['0.0', '1.0', '42', '2474']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,"['3.0', '1.0', '78', '2651']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver,"['2.0', '1.0', '69', '2523']"
E11,Got assigned task <*>,Got assigned task 87,['87']
E24,Running task <*> in stage <*> (TID <*>),Running task 0.0 in stage 2.0 (TID 87),"['0.0', '2.0', '87']"
E11,Got assigned task <*>,Got assigned task 101,['101']
E24,Running task <*> in stage <*> (TID <*>),Running task 1.0 in stage 2.0 (TID 101),"['1.0', '2.0', '101']"
E11,Got assigned task <*>,Got assigned task 112,['112']
E24,Running task <*> in stage <*> (TID <*>),Running task 2.0 in stage 2.0 (TID 112),"['2.0', '2.0', '112']"
E11,Got assigned task <*>,Got assigned task 118,['118']
E24,Running task <*> in stage <*> (TID <*>),Running task 3.0 in stage 2.0 (TID 118),"['3.0', '2.0', '118']"
E29,Started reading broadcast variable <*>,Started reading broadcast variable 11,['11']
E11,Got assigned task <*>,Got assigned task 119,['119']
E24,Running task <*> in stage <*> (TID <*>),Running task 4.0 in stage 2.0 (TID 119),"['4.0', '2.0', '119']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_11_piece0 stored as bytes in memory (estimated size 5.4 KB, free 344.7 KB)","['broadcast_11_piece0', '5.4 KB', '344.7 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 11 took 15 ms,"['11', '15']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_11 stored as values in memory (estimated size 9.2 KB, free 353.9 KB)","['broadcast_11', '9.2 KB', '353.9 KB']"
E10,Found block rdd_<*> locally,Found block rdd_2_4 locally,['2_4']
E10,Found block rdd_<*> locally,Found block rdd_2_3 locally,['2_3']
E10,Found block rdd_<*> locally,Found block rdd_2_2 locally,['2_2']
E10,Found block rdd_<*> locally,Found block rdd_2_0 locally,['2_0']
E10,Found block rdd_<*> locally,Found block rdd_2_1 locally,['2_1']
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 39, boot = -147, init = 186, finish = 0","['39', '-147', '186', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 39, boot = -147, init = 186, finish = 0","['39', '-147', '186', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 41, boot = -139, init = 179, finish = 1","['41', '-139', '179', '1']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 38, boot = -156, init = 194, finish = 0","['38', '-156', '194', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 39, boot = -159, init = 198, finish = 0","['39', '-159', '198', '0']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,"['4.0', '2.0', '119', '2087']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,"['2.0', '2.0', '112', '2087']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver,"['3.0', '2.0', '118', '2087']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver,"['1.0', '2.0', '101', '2087']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver,"['0.0', '2.0', '87', '2087']"
E11,Got assigned task <*>,Got assigned task 122,['122']
E24,Running task <*> in stage <*> (TID <*>),Running task 0.0 in stage 3.0 (TID 122),"['0.0', '3.0', '122']"
E11,Got assigned task <*>,Got assigned task 136,['136']
E24,Running task <*> in stage <*> (TID <*>),Running task 1.0 in stage 3.0 (TID 136),"['1.0', '3.0', '136']"
E11,Got assigned task <*>,Got assigned task 150,['150']
E24,Running task <*> in stage <*> (TID <*>),Running task 2.0 in stage 3.0 (TID 150),"['2.0', '3.0', '150']"
E11,Got assigned task <*>,Got assigned task 158,['158']
E24,Running task <*> in stage <*> (TID <*>),Running task 3.0 in stage 3.0 (TID 158),"['3.0', '3.0', '158']"
E29,Started reading broadcast variable <*>,Started reading broadcast variable 12,['12']
E11,Got assigned task <*>,Got assigned task 159,['159']
E24,Running task <*> in stage <*> (TID <*>),Running task 4.0 in stage 3.0 (TID 159),"['4.0', '3.0', '159']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_12_piece0 stored as bytes in memory (estimated size 5.6 KB, free 359.4 KB)","['broadcast_12_piece0', '5.6 KB', '359.4 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 12 took 30 ms,"['12', '30']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_12 stored as values in memory (estimated size 9.8 KB, free 369.3 KB)","['broadcast_12', '9.8 KB', '369.3 KB']"
E19,"Partition rdd_<*> not found, computing it","Partition rdd_6_4 not found, computing it",['6_4']
E19,"Partition rdd_<*> not found, computing it","Partition rdd_6_3 not found, computing it",['6_3']
E19,"Partition rdd_<*> not found, computing it","Partition rdd_6_0 not found, computing it",['6_0']
E19,"Partition rdd_<*> not found, computing it","Partition rdd_6_1 not found, computing it",['6_1']
E19,"Partition rdd_<*> not found, computing it","Partition rdd_6_2 not found, computing it",['6_2']
E10,Found block rdd_<*> locally,Found block rdd_2_4 locally,['2_4']
E10,Found block rdd_<*> locally,Found block rdd_2_3 locally,['2_3']
E10,Found block rdd_<*> locally,Found block rdd_2_1 locally,['2_1']
E10,Found block rdd_<*> locally,Found block rdd_2_0 locally,['2_0']
E10,Found block rdd_<*> locally,Found block rdd_2_2 locally,['2_2']
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 38, boot = -170, init = 208, finish = 0","['38', '-170', '208', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 41, boot = -171, init = 212, finish = 0","['41', '-171', '212', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 41, boot = -160, init = 200, finish = 1","['41', '-160', '200', '1']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 38, boot = -172, init = 210, finish = 0","['38', '-172', '210', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 40, boot = -173, init = 213, finish = 0","['40', '-173', '213', '0']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_6_4 stored as bytes in memory (estimated size 287.0 B, free 369.5 KB)","['rdd_6_4', '287.0 B', '369.5 KB']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_6_3 stored as bytes in memory (estimated size 344.0 B, free 369.9 KB)","['rdd_6_3', '344.0 B', '369.9 KB']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_6_1 stored as bytes in memory (estimated size 330.0 B, free 370.2 KB)","['rdd_6_1', '330.0 B', '370.2 KB']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_6_2 stored as bytes in memory (estimated size 252.0 B, free 370.4 KB)","['rdd_6_2', '252.0 B', '370.4 KB']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block rdd_6_0 stored as bytes in memory (estimated size 265.0 B, free 370.7 KB)","['rdd_6_0', '265.0 B', '370.7 KB']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 38, boot = 14, init = 24, finish = 0","['38', '14', '24', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 38, boot = 12, init = 26, finish = 0","['38', '12', '26', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 41, boot = 19, init = 22, finish = 0","['41', '19', '22', '0']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver,"['4.0', '3.0', '159', '2667']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 41, boot = 16, init = 25, finish = 0","['41', '16', '25', '0']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver,"['3.0', '3.0', '158', '2667']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 40, boot = 5, init = 35, finish = 0","['40', '5', '35', '0']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver,"['1.0', '3.0', '136', '2667']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 2.0 in stage 3.0 (TID 150). 2667 bytes result sent to driver,"['2.0', '3.0', '150', '2667']"
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver,"['0.0', '3.0', '122', '2667']"
E11,Got assigned task <*>,Got assigned task 171,['171']
E24,Running task <*> in stage <*> (TID <*>),Running task 0.0 in stage 4.0 (TID 171),"['0.0', '4.0', '171']"
E11,Got assigned task <*>,Got assigned task 185,['185']
E24,Running task <*> in stage <*> (TID <*>),Running task 1.0 in stage 4.0 (TID 185),"['1.0', '4.0', '185']"
E29,Started reading broadcast variable <*>,Started reading broadcast variable 13,['13']
E11,Got assigned task <*>,Got assigned task 195,['195']
E24,Running task <*> in stage <*> (TID <*>),Running task 2.0 in stage 4.0 (TID 195),"['2.0', '4.0', '195']"
E11,Got assigned task <*>,Got assigned task 198,['198']
E24,Running task <*> in stage <*> (TID <*>),Running task 3.0 in stage 4.0 (TID 198),"['3.0', '4.0', '198']"
E11,Got assigned task <*>,Got assigned task 199,['199']
E24,Running task <*> in stage <*> (TID <*>),Running task 4.0 in stage 4.0 (TID 199),"['4.0', '4.0', '199']"
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_13_piece0 stored as bytes in memory (estimated size 5.7 KB, free 376.4 KB)","['broadcast_13_piece0', '5.7 KB', '376.4 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 13 took 41 ms,"['13', '41']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_13 stored as values in memory (estimated size 10.1 KB, free 386.5 KB)","['broadcast_13', '10.1 KB', '386.5 KB']"
E10,Found block rdd_<*> locally,Found block rdd_6_0 locally,['6_0']
E10,Found block rdd_<*> locally,Found block rdd_6_4 locally,['6_4']
E10,Found block rdd_<*> locally,Found block rdd_6_3 locally,['6_3']
E10,Found block rdd_<*> locally,Found block rdd_6_2 locally,['6_2']
E10,Found block rdd_<*> locally,Found block rdd_6_1 locally,['6_1']
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 39, boot = -141, init = 180, finish = 0","['39', '-141', '180', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 40, boot = -129, init = 169, finish = 0","['40', '-129', '169', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 41, boot = -134, init = 175, finish = 0","['41', '-134', '175', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 39, boot = -123, init = 162, finish = 0","['39', '-123', '162', '0']"
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","Times: total = 42, boot = -125, init = 166, finish = 1","['42', '-125', '166', '1']"
