Line,EventId,EventTemplate,Content,ParameterList
12,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,"['1724757848743533110', '10.251.111.130:49851', '10.251.111.130:50010']"
13,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,"['10.251.110.8:50010', '8015913224713045110', '67108864']"
14,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,"['-5623176793330377570', '10.251.75.228:53725', '10.251.75.228:50010']"
15,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,"['user/root/rand/_temporary/_task_200811092030_0001_m_000590_0', '00590', '-1727475099218615100']"
16,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_5017373558217225674 terminating,"['1', '5017373558217225674']"
17,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,"['9212264480425680329', '67108864', '10.251.123.1']"
18,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,"['user/root/rand/_temporary/_task_200811092030_0001_m_000742_0', '00742', '-7878121102358435702']"
19,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,"['10.251.111.130:50010', '4568434182693165548', '67108864']"
20,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,"['-5704899712662113150', '67108864', '10.251.91.229']"
21,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,"['10.251.74.79:50010', '-4794867979917102672', '67108864']"
22,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,"['10.251.38.197:50010', '8763662564934652249', '67108864']"
23,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,"['-5861636720645142679', '67108864', '10.251.70.211']"
24,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,"['10.251.74.134:50010', '7453815855294711849', '67108864']"
25,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,"['-28342503914935090', '10.251.123.132:57542', '10.251.123.132:50010']"
26,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,"['8291449241650212794', '67108864', '10.251.89.155']"
27,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,"['user/root/rand/_temporary/_task_200811092030_0001_m_000487_0', '00487', '-5319073033164653435']"
28,E14,Verification succeeded for blk_<*>,Verification succeeded for blk_-4980916519894289629,['-4980916519894289629']
29,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,"['-5974833545991408899', '67108864', '10.251.31.180']"
30,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,"['-5009020203888190378', '10.251.199.19:52622', '10.251.199.19:50010']"
31,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,"['6921674711959888070', '67108864', '10.251.65.203']"
32,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,"['10.250.7.244:50010', '5165786360127153975', '67108864']"
33,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,"['2937758977269298350', '10.251.194.129:37476', '10.251.194.129:50010']"
34,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,"['10.250.6.191:50010', '673825774073966710', '67108864']"
35,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,"['-7526945448667194862', '67108864', '10.251.203.80']"
36,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,"['-2094397855762091248', '67108864', '10.251.126.83']"
37,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,"['-8523968015014407246', '67108864', '10.251.214.225']"
38,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,"['10.251.89.155:50010', '8181993091797661153', '67108864']"
39,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,"['-6276023454199613372', '10.251.65.237:34085', '10.251.65.237:50010']"
40,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,"['4755566011267050000', '67108864', '10.251.75.79']"
41,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,"['-3909548841543565741', '3542967', '10.251.195.33']"
42,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,"['-6809181994368905854', '10.250.17.225:51754', '10.250.17.225:50010']"
43,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,"['8829027411458566099', '67108864', '10.251.38.214']"
44,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,"['10.251.106.50:50010', '-29548654251973735', '67108864']"
45,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-5073870177832699716 terminating,"['1', '-5073870177832699716']"
46,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,"['-8241093737585222406', '67108864', '10.250.5.161']"
47,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,"['10.251.111.228:50010', '-2480595760294717232', '67108864']"
48,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_7791237942696729620 terminating,"['0', '7791237942696729620']"
49,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,"['10.251.202.134:50010', '2113880130496815041', '3549917']"
50,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,"['1064470652608359218', '67108864', '10.251.39.242']"
51,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,"['10.251.110.8:50010', '-1661553043410372067', '67108864']"
52,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-1527267659500322006 terminating,"['1', '-1527267659500322006']"
53,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_4886940526690879848 terminating,"['1', '4886940526690879848']"
54,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,"['-2452477352812192142', '67108864', '10.250.7.244']"
55,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-4229375751333894621 terminating,"['0', '-4229375751333894621']"
56,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,"['-774267833966018354', '10.251.38.53:51057', '10.251.38.53:50010']"
57,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,"['user/root/rand/_temporary/_task_200811092030_0001_m_001648_0', '01648', '2513940824125131775']"
58,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,"['user/root/rand/_temporary/_task_200811092030_0001_m_001866_0', '01866', '-1282453782148343691']"
59,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,"['-518701095493827363', '67108864', '10.251.214.67']"
60,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,"['10.251.106.50:50010', '-2530087534157630851', '67108864']"
61,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,"['10.251.198.196:50010', '427714267500527780', '67108864']"
62,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,"['-967145856473901804', '67108864', '10.250.6.191']"
63,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,"['8408125361497769001', '67108864', '10.251.70.211']"
64,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,"['-1614641487214609125', '67108864', '10.251.193.175']"
65,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,"['7577595658377008671', '67108864', '10.251.71.97']"
66,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,"['3777400576053320362', '67108864', '10.251.31.5']"
67,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-5852844080027817147 terminating,"['0', '-5852844080027817147']"
68,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,"['-2129171714384027465', '67108864', '10.251.75.228']"
69,E14,Verification succeeded for blk_<*>,Verification succeeded for blk_-2827716238972737794,['-2827716238972737794']
70,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,"['-3509323198988774369', '10.250.6.214:52922', '10.250.6.214:50010']"
71,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_9093049293972551787 terminating,"['0', '9093049293972551787']"
72,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_1781953582842324563 file /mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563,"['1781953582842324563', 'mnt/hadoop/dfs/data/current/subdir5', '1781953582842324563']"
73,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,"['10.251.194.213:50010', '-7724713468912166542', '10.251.203.80']"
74,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229,"['10.251.91.229:50010', '-3358448553918665902', '10.251.91.229']"
75,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.39.192:50010 Served block blk_-5341992729755584578 to /10.251.39.192,"['10.251.39.192:50010', '-5341992729755584578', '10.251.39.192']"
76,E1,<*>:<*> Served block blk_<*> to /<*>,10.250.5.237:50010 Served block blk_3166960787499091856 to /10.251.43.147,"['10.250.5.237:50010', '3166960787499091856', '10.251.43.147']"
77,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:,"['10.251.30.85:50010', '-2918118818249673980', '10.251.90.64']"
78,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,"['10.251.126.255:50010', '8376667364205250596', '10.251.91.159']"
79,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.71.68:50010 Served block blk_-2794533871450434534 to /10.251.199.150,"['10.251.71.68:50010', '-2794533871450434534', '10.251.199.150']"
80,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.123.132:50010:Got exception while serving blk_3763728533434719668 to /10.251.38.214:,"['10.251.123.132:50010', '3763728533434719668', '10.251.38.214']"
81,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.250.13.188:50010:Got exception while serving blk_6241141267506413726 to /10.251.194.245:,"['10.250.13.188:50010', '6241141267506413726', '10.251.194.245']"
82,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.214.32:50010 Served block blk_-6520030462660619051 to /10.251.215.70,"['10.251.214.32:50010', '-6520030462660619051', '10.251.215.70']"
83,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.199.19:50010:Got exception while serving blk_8466246428293623262 to /10.251.106.37:,"['10.251.199.19:50010', '8466246428293623262', '10.251.106.37']"
84,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.250.9.207:50010:Got exception while serving blk_-3140754468249228022 to /10.250.9.207:,"['10.250.9.207:50010', '-3140754468249228022', '10.250.9.207']"
85,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.202.134:50010:Got exception while serving blk_3441699978641526775 to /10.251.126.5:,"['10.251.202.134:50010', '3441699978641526775', '10.251.126.5']"
86,E1,<*>:<*> Served block blk_<*> to /<*>,10.250.6.214:50010 Served block blk_5739119717322549945 to /10.251.43.115,"['10.250.6.214:50010', '5739119717322549945', '10.251.43.115']"
87,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.250.14.196:50010:Got exception while serving blk_-305633040016166849 to /10.251.38.53:,"['10.250.14.196:50010', '-305633040016166849', '10.251.38.53']"
88,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.107.227:50010:Got exception while serving blk_-6290631608800952376 to /10.251.109.209:,"['10.251.107.227:50010', '-6290631608800952376', '10.251.109.209']"
89,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.203.166:50010 Served block blk_8787656642683881295 to /10.251.107.98,"['10.251.203.166:50010', '8787656642683881295', '10.251.107.98']"
90,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.90.64:50010:Got exception while serving blk_-4841792440390267307 to /10.251.90.239:,"['10.251.90.64:50010', '-4841792440390267307', '10.251.90.239']"
91,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.250.10.144:50010:Got exception while serving blk_5126469776250053435 to /10.250.11.100:,"['10.250.10.144:50010', '5126469776250053435', '10.250.11.100']"
92,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.71.146:50010:Got exception while serving blk_-2032740670708110312 to /10.251.197.161:,"['10.251.71.146:50010', '-2032740670708110312', '10.251.197.161']"
93,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.67.113:50010:Got exception while serving blk_-62891505109755100 to /10.250.7.96:,"['10.251.67.113:50010', '-62891505109755100', '10.250.7.96']"
94,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.74.79:50010:Got exception while serving blk_2244903517044280975 to /10.251.74.134:,"['10.251.74.79:50010', '2244903517044280975', '10.251.74.134']"
95,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.214.112:50010:Got exception while serving blk_5905933788014151041 to /10.251.214.112:,"['10.251.214.112:50010', '5905933788014151041', '10.251.214.112']"
96,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.111.80:50010 Served block blk_6296828743242110158 to /10.251.42.246,"['10.251.111.80:50010', '6296828743242110158', '10.251.42.246']"
97,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.43.210:50010:Got exception while serving blk_2969087638814291714 to /10.251.199.86:,"['10.251.43.210:50010', '2969087638814291714', '10.251.199.86']"
98,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.126.255:50010:Got exception while serving blk_2879780987351022871 to /10.251.39.144:,"['10.251.126.255:50010', '2879780987351022871', '10.251.39.144']"
99,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.73.220:50010:Got exception while serving blk_4934527196392001803 to /10.251.203.246:,"['10.251.73.220:50010', '4934527196392001803', '10.251.203.246']"
100,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.73.188:50010:Got exception while serving blk_7517964792804498202 to /10.250.6.191:,"['10.251.73.188:50010', '7517964792804498202', '10.250.6.191']"
101,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.35.1:50010:Got exception while serving blk_7940316270494947483 to /10.251.122.38:,"['10.251.35.1:50010', '7940316270494947483', '10.251.122.38']"
102,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.90.134:50010:Got exception while serving blk_7154985168984871115 to /10.251.110.160:,"['10.251.90.134:50010', '7154985168984871115', '10.251.110.160']"
103,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-6867873931012347356 of size 67108864 from /10.251.39.64,"['-6867873931012347356', '67108864', '10.251.39.64']"
104,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_6093743385844975689 size 67108864,"['10.251.107.19:50010', '6093743385844975689', '67108864']"
105,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_8692428775973608797 src: /10.250.10.213:56574 dest: /10.250.10.213:50010,"['8692428775973608797', '10.250.10.213:56574', '10.250.10.213:50010']"
106,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-6837050820114491742 terminating,"['0', '-6837050820114491742']"
107,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5195432543794777448 of size 67108864 from /10.250.10.6,"['-5195432543794777448', '67108864', '10.250.10.6']"
108,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.68:50010 is added to blk_1636660629634995787 size 67108864,"['10.251.110.68:50010', '1636660629634995787', '67108864']"
109,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.75.79:50010 is added to blk_467589865104023338 size 67108864,"['10.251.75.79:50010', '467589865104023338', '67108864']"
110,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_7929144620252342335 of size 67108864 from /10.251.31.5,"['7929144620252342335', '67108864', '10.251.31.5']"
111,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-1798958443298220150 src: /10.251.111.209:57419 dest: /10.251.111.209:50010,"['-1798958443298220150', '10.251.111.209:57419', '10.251.111.209:50010']"
112,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-54240672253074715 terminating,"['0', '-54240672253074715']"
113,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-7172347691639518373 src: /10.251.111.37:35327 dest: /10.251.111.37:50010,"['-7172347691639518373', '10.251.111.37:35327', '10.251.111.37:50010']"
114,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-6412155847905320411 src: /10.251.30.85:58995 dest: /10.251.30.85:50010,"['-6412155847905320411', '10.251.30.85:58995', '10.251.30.85:50010']"
115,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_699651392443620263 src: /10.251.70.5:34703 dest: /10.251.70.5:50010,"['699651392443620263', '10.251.70.5:34703', '10.251.70.5:50010']"
116,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-8788032532930439012 src: /10.251.126.255:41104 dest: /10.251.126.255:50010,"['-8788032532930439012', '10.251.126.255:41104', '10.251.126.255:50010']"
117,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-3455521536483250153 of size 67108864 from /10.251.106.37,"['-3455521536483250153', '67108864', '10.251.106.37']"
118,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.85:50010 is added to blk_-7017553867379051457 size 67108864,"['10.251.31.85:50010', '-7017553867379051457', '67108864']"
119,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-1259190292740306590 src: /10.251.65.203:36289 dest: /10.251.65.203:50010,"['-1259190292740306590', '10.251.65.203:36289', '10.251.65.203:50010']"
120,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296. blk_-6620182933895093708,"['user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0', '00296', '-6620182933895093708']"
121,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_2028803850179311599 terminating,"['1', '2028803850179311599']"
122,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-8562334328670278932 src: /10.251.194.147:46714 dest: /10.251.194.147:50010,"['-8562334328670278932', '10.251.194.147:46714', '10.251.194.147:50010']"
123,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-8108913101671416218 terminating,"['1', '-8108913101671416218']"
124,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-7640601843607665080 terminating,"['0', '-7640601843607665080']"
125,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_7654726977769174867 src: /10.251.110.160:49990 dest: /10.251.110.160:50010,"['7654726977769174867', '10.251.110.160:49990', '10.251.110.160:50010']"
126,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_8320088109701056055 terminating,"['1', '8320088109701056055']"
127,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_4585055992495043771 size 67108864,"['10.251.197.226:50010', '4585055992495043771', '67108864']"
128,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-4330512786228504138 of size 67108864 from /10.251.67.225,"['-4330512786228504138', '67108864', '10.251.67.225']"
129,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.30.179:50010 is added to blk_4628142183191390143 size 67108864,"['10.251.30.179:50010', '4628142183191390143', '67108864']"
130,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_-6766351519628312408 terminating,"['2', '-6766351519628312408']"
131,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.5.237:50010 is added to blk_-476906696485288376 size 67108864,"['10.250.5.237:50010', '-476906696485288376', '67108864']"
132,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-7436749154361133879 terminating,"['0', '-7436749154361133879']"
