,EventId,EventTemplate,Content,ParameterList
10,E39,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]","SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]","['C:\\Windows\\servicing\\sqm\\*_std.sqm', '0x2', '0x80004005']"
11,E38,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],['0x80004005']
12,E41,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>","SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6","['0', 'C:\\Windows\\servicing\\sqm\\*_all.sqm', '0x6']"
13,E43,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],['0x80004005']
14,E25,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",[]
15,E26,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.,[]
16,E5,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>","00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90","['00000004', '1', '00000004', 'NULL', '0', '0xb6fd90']"
17,E2,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(null)""","00000005 Creating NT transaction (seq 1), objectname [6]""(null)""","['00000005', '1', '6']"
18,E1,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>","00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214","['00000006', '1', '0x00000000', '0x214']"
19,E3,<*> CSI perf trace:,00000007@2016/9/27:20:30:31.462 CSI perf trace:,['00000007@2016/9/27:20:30:31.462']
20,E27,"NonStart: Success, startup processing not required as expected.","NonStart: Success, startup processing not required as expected.",[]
21,E47,Startup processing thread terminated normally,Startup processing thread terminated normally,[]
22,E4,<*> CSI Store <*> (<*>) initialized,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,"['00000008', '4991456', '0x00000000004c29e0']"
23,E36,Session: <*>_<*> initialized by client WindowsUpdateAgent.,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,['30546173_4261722401']
24,E36,Session: <*>_<*> initialized by client WindowsUpdateAgent.,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,['30546173_4262462443']
25,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
26,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
27,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
28,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
29,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
30,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
31,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
32,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
33,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
34,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
35,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
36,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
37,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
38,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
39,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
40,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
41,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
42,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
43,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
44,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
45,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
46,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
47,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
48,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
49,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
50,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
51,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
52,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
53,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
54,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
55,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
56,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
57,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
58,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
59,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
60,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
61,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
62,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
63,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
64,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
65,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
66,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
67,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
68,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
69,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
70,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
71,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
72,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
73,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
74,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
75,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
76,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
77,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
78,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
79,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
80,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
81,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
82,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
83,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
84,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
85,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
86,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
87,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
88,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
89,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
90,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
91,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
92,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
93,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
94,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
95,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
96,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
97,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
98,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
99,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
100,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
101,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
102,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
103,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
104,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
105,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
106,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
107,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
108,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
109,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
110,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
111,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
112,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
113,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
114,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
115,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
116,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
117,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
118,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
119,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
120,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
121,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
122,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
123,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
124,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
125,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
126,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
127,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
128,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
129,E36,Session: <*>_<*> initialized by client WindowsUpdateAgent.,Session: 30546173_4267072707 initialized by client WindowsUpdateAgent.,['30546173_4267072707']
130,E21,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],['0x800f0805']
131,E36,Session: <*>_<*> initialized by client WindowsUpdateAgent.,Session: 30546173_4268042763 initialized by client WindowsUpdateAgent.,['30546173_4268042763']
132,E36,Session: <*>_<*> initialized by client WindowsUpdateAgent.,Session: 30546173_4271022933 initialized by client WindowsUpdateAgent.,['30546173_4271022933']
133,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
134,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
135,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
136,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
137,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
138,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
139,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
140,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
141,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
142,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
143,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
144,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
145,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
146,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
147,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
148,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
149,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
150,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
151,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
152,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
153,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
154,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
155,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
156,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
157,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
158,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
159,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
160,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
161,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
162,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,[]
163,E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
164,E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d']
